folder name,opf link
Beckman SP-B-660,OPF 660
Belle View SP-B-438,OPF 438
Bharat GR-M-04,unavailable
Bharti Airtel Ltd. SP-S-074,OPF 074 (Bharti Airtel)- Tablet Qty 25
Bharti Airtel NJ-I-013,OPF-Bharti Airtel (NJ-I-013)
Bharti Airtel NJ-I-016,OPF-Bharti Airtel (NJ-I-016)
Bharti Airtel SP-S-016,OPF 016 (Bharti Airtel)- Tablet Qty 03
Bharti Airtel SP-S-076,OPF 076 (Bharti Airtel)- Tablet Qty 140
Bharti Airtel SP-S-077,OPF 077 (Bharti Airtel)- Tablet Qty 77
Bharti Airtel SP-S-078,OPF 078 (Bharti Airtel) tab warranty- Tablet Qty 78
Bharti Airtel SP-S-102,OPF 102 (Bharti Airtel)- Tablet Qty 09
Bharti Airtel SP-S-103,OPF 103 (Bharti Airtel)- Tablet Qty 11
Bharti Airtel SP-S-159,OPF 159 (Bharti Airtel)- Tablet Qty 09
Bharti Airtel SP-S-161,OPF 161 (Bharti Airtel) tab warranty- Tablet Qty 204
Bluezone SP-P-113,OPF 113 Bluezone Desktop & Laptop
Bluezone SP-R-169,OPF 169 - bluezone - LT
Boehringer SP-SK-01,OPF 01Boehringer
Bureau of Energy Efficiency TK-028,unavailable
Burns & Mcdonnell SP-B-011,OPF 011-1
Burns & Mcdonnell SP-B-056,OPF 056
Burns & Mcdonnell SP-B-068,OPF 068
Burns & Mcdonnell SP-B-069,OPF 069
Burns & Mcdonnell SP-B-089,OPF 089
Burns & Mcdonnell SP-B-134,OPF 134
Burns & Mcdonnell SP-B-322,OPF 322
Burns & Mcdonnells SP-B-406,OPF 406
Capgemini SP-P-766,OPF 766 Capgemini Memory
Capgemini P-D-073,OPF 073 Capgemini Rental Storage
Capgemini P-D-073,OPF 073 Capgemini Rental Storage-1
Capgemini P-D-673,OPF 673 Capgemini Rental Storage
Capgemini P-I-586,OPF 586 Capgemini Mobile Device
Capgemini P-I-589,OPF 589 Capgemini Apple iPad
Capgemini P-I-591,OPF 591 Capgemini Apple iPhone
Capgemini P-I-603,OPF 603 Capgemini Apple Devices
Capgemini P-I-605,OPF 605 Capgemini Apple Accessories
